#{"t_start": 1773812897.832136, "env_id": "None"}
r,l,t
-12.75,55,22.573554
-68.7,70,22.646814
-26.1,51,22.703803
-21.2,51,22.755759
12.75,57,22.815256
-47.75,57,22.874121
-16.05,55,22.933875
0.75,69,23.0064
21.35,51,23.059339
-49.0,16,23.077188
-24.55,77,23.1621
-24.05,56,23.221903
-40.6,62,23.288389
-20.4,71,23.365446
-24.2,56,23.425121
-28.6,57,23.489533
-67.75,77,23.571024
-29.45,71,23.647415
-39.9,20,23.668782
-23.7,55,23.726262
-44.7,69,23.797472
-25.1,43,23.840305
33.5,50,23.8913
-20.8,20,23.91318
-20.5,69,23.983625
63.25,65,24.048671
-3.95,49,24.102827
-49.3,65,24.170487
36.55,69,24.628088
27.85,30,24.665693
-14.7,55,24.737421
-57.05,55,24.803687
-14.85,55,24.869341
22.9,50,24.931118
-0.3,39,24.979721
-17.95,50,25.045116
-7.35,63,25.128304
-32.65,52,25.193841
-19.9,38,25.246005
20.1,70,25.336947
10.0,59,25.410793
-5.7,56,25.480907
-25.3,50,25.545845
-10.65,27,25.58059
-43.55,52,25.643377
-22.9,57,25.712098
5.55,63,25.814161
94.8,65,25.989393
-25.6,50,26.076973
-29.2,49,26.136853
42.1,39,26.187775
28.0,53,26.257735
-31.3,52,26.324126
-34.2,55,26.394822
-13.85,51,26.459935
-9.05,3,26.464863
-9.95,77,26.562119
-0.35,49,26.622584
-21.7,69,26.707506
38.25,61,26.78281
-34.5,38,26.828936
-19.95,54,26.895628
21.7,62,26.968974
-4.3,65,27.04842
2.25,55,27.119797
-11.25,70,27.210749
-21.6,55,27.279773
15.8,17,27.631511
13.75,70,27.723121
-12.4,43,27.777087
-46.9,50,27.838306
-1.65,70,27.925282
37.35,51,27.98571
12.8,77,28.072214
-25.95,56,28.137396
5.6,69,28.213181
1.5,70,28.291929
-7.95,50,28.346138
-21.75,56,28.406836
8.65,57,28.469175
-6.05,15,28.486142
-10.05,63,28.553519
2.95,65,28.626611
5.7,56,28.690705
-23.1,50,28.745609
-28.6,49,28.796329
-14.05,3,28.800139
-35.15,77,28.879079
-6.35,77,28.961989
-22.9,70,29.034532
4.75,65,29.110536
-55.35,70,29.183583
4.25,70,29.2597
17.35,22,29.284922
-13.6,16,29.302989
-3.3,56,29.359046
-25.15,70,30.646969
-25.4,56,30.709978
-23.4,55,30.76639
0.7,69,30.837247
40.0,69,30.906554
-2.65,49,30.955724
5.45,50,31.007029
-35.15,49,31.057742
-39.7,52,31.402225
12.95,51,31.45849
-25.5,52,31.516442
19.35,69,31.590393
12.55,51,31.650554
-6.5,37,31.691401
-4.4,55,31.752378
7.55,51,31.80531
58.2,65,31.872577
-1.15,50,31.92457
10.0,63,31.989348
43.9,65,32.059214
-23.75,77,32.146318
-4.5,52,32.199898
1.3,70,32.273536
22.8,59,32.337404
28.2,57,32.398951
-18.45,27,32.428327
6.0,70,32.503612
24.7,49,32.554977
-28.5,61,32.619389
37.55,69,32.692081
33.8,69,32.763654
47.4,69,32.83192
48.45,69,32.903187
-21.75,57,32.962486
15.3,50,33.014616
-8.65,56,33.075308
-7.45,70,33.148448
-6.85,51,33.202949
27.0,71,33.277861
-7.3,51,33.333031
3.25,55,33.394449
-0.6,68,33.470221
49.4,30,33.506569
-17.45,27,33.534979
44.8,55,33.880522
19.75,49,33.935236
29.5,62,33.999784
25.55,65,34.07268
3.0,55,34.137326
49.8,53,34.19601
45.95,69,34.271095
14.65,70,34.351434
23.15,51,34.406507
-3.2,56,34.470299
37.2,57,34.535375
34.3,59,34.601932
13.15,51,34.659745
32.95,68,34.733385
-5.3,52,34.787528
32.35,51,34.838705
-1.05,52,34.891583
-2.05,54,34.946668
-16.5,38,34.987502
13.3,70,35.058743
-1.2,50,35.11429
29.7,52,35.169532
-9.9,43,35.214973
19.35,68,35.288652
-11.05,51,35.344522
26.05,77,35.430533
17.25,56,35.492416
4.85,43,35.540001
0.9,52,35.594915
14.05,50,35.648035
-1.35,63,35.715922
3.7,70,35.785981
36.1,54,35.841538
34.05,49,35.891662
15.4,51,35.943882
30.45,39,35.984787
43.3,65,36.0529
15.05,70,36.423129
-3.5,71,36.504625
12.25,77,36.589855
-11.0,38,36.633556
-3.15,70,36.708665
5.9,61,36.772092
-12.9,38,36.810423
17.5,51,36.863306
23.55,69,36.933714
42.15,50,36.986569
-13.4,38,37.026309
34.2,69,37.101137
-0.75,55,37.160586
14.45,61,37.227033
-4.55,50,37.285654
21.75,70,37.361148
-17.45,43,37.411753
2.4,51,37.467994
26.5,68,37.542647
27.45,54,37.603266
28.05,55,37.661264
-8.25,57,37.723511
-6.05,61,37.783518
-2.3,49,37.832735
-3.75,58,37.891173
14.65,69,37.960296
62.6,55,38.016316
33.15,51,38.070886
-18.85,54,38.130494
19.9,56,38.189172
6.6,43,38.235929
-25.35,50,38.291543
33.3,50,38.345716
-4.3,50,38.39717
9.45,70,38.47301
12.65,70,38.546146
26.85,68,38.925413
-10.55,49,38.984295
14.65,52,39.037652
-9.15,69,39.117835
-15.25,43,39.166388
6.6,55,39.227048
6.25,69,39.305228
2.6,70,39.381698
13.5,77,39.465285
36.15,57,39.531512
21.8,65,39.60836
26.2,62,39.673254
7.55,52,39.730736
25.75,70,39.805402
54.55,57,39.863916
-0.65,69,39.935769
7.55,70,40.009892
-10.15,70,40.082802
25.0,51,40.137788
3.2,55,40.196659
-23.25,20,40.222034
28.6,40,40.263599
39.9,65,40.333096
48.8,55,40.390503
-11.35,50,40.443541
7.4,58,40.502538
-9.25,43,40.550072
-0.05,51,40.604637
18.6,70,40.713858
-7.55,55,40.784598
27.25,65,40.874503
18.6,57,40.940298
-18.25,52,40.998012
15.8,22,41.022447
25.75,64,41.093532
0.9,51,41.147916
29.05,68,41.524865
11.75,70,41.613835
3.35,57,41.684959
4.55,57,41.757619
-0.9,39,41.809092
48.35,55,41.879504
15.6,39,41.930827
1.95,60,42.009896
22.05,51,42.072693
24.45,68,42.159723
33.6,56,42.23121
10.7,70,42.322243
8.6,49,42.383709
6.75,60,42.462129
23.6,55,42.534818
22.95,52,42.597718
23.35,37,42.64559
26.55,62,42.720874
8.85,56,42.791259
-6.35,52,42.85364
20.8,55,42.919952
13.45,70,43.008703
14.15,59,43.084138
29.05,58,44.508327
-6.55,56,44.580611
10.95,58,44.656757
9.65,62,44.733995
7.7,62,44.809092
19.25,65,44.887601
4.75,58,44.957247
0.25,55,45.027002
4.55,57,45.095552
6.4,56,45.158965
8.65,52,45.223467
35.55,62,45.292799
-12.4,38,45.334396
9.15,51,45.677912
19.1,49,45.729857
11.95,57,45.791609
8.55,57,45.847893
28.0,53,45.903837
22.4,50,45.954594
46.35,50,46.009738
19.1,50,46.062246
15.5,70,46.13683
32.05,64,46.208602
7.9,56,46.267569
53.25,55,46.326828
25.35,54,46.385436
57.85,69,46.460667
11.8,51,46.515516
24.0,55,46.575567
32.75,15,46.593242
31.45,70,46.668472
29.25,53,46.725313
-0.5,51,46.778508
13.5,52,46.83429
11.55,15,46.849434
18.4,65,46.913555
12.35,57,46.973386
38.1,64,47.043187
23.4,60,47.105443
3.85,69,47.179693
53.3,57,47.239201
34.3,68,47.312745
-11.2,38,47.353607
58.2,59,47.41611
5.9,60,47.48116
17.15,50,47.534074
4.15,56,47.594627
15.75,70,47.668976
7.35,56,47.727573
21.3,52,47.781621
22.85,49,48.118327
58.45,62,48.187456
15.75,55,48.246632
7.4,51,48.303179
3.15,52,48.359406
23.85,69,48.438243
66.25,70,48.515216
20.05,54,48.577468
50.35,57,48.649132
-6.95,49,48.703449
6.7,70,48.777067
29.05,40,48.820005
-2.8,38,48.857855
3.6,55,48.914849
5.6,51,48.969193
15.3,22,48.994433
13.8,62,49.061873
33.75,40,49.103117
19.25,65,49.17372
32.9,64,49.240267
3.75,56,49.300498
