#{"t_start": 1773812897.832136, "env_id": "None"}
r,l,t
18.1,39,382.502782
27.8,70,382.57676
33.95,58,382.636285
12.25,55,382.69809
22.3,57,382.758153
42.55,57,382.816119
24.55,69,382.884354
20.35,55,382.938707
6.0,51,382.990778
11.1,56,383.047983
-4.95,38,383.088699
17.2,77,383.167702
49.35,65,383.237116
15.55,62,383.30442
23.7,70,383.378064
41.95,51,383.43522
6.25,50,383.488992
18.7,43,383.535091
-0.55,49,383.587303
57.55,57,383.649307
1.85,49,383.703531
0.1,49,383.755262
22.55,65,383.820473
20.1,70,383.891229
18.35,68,383.961581
12.4,22,383.986865
28.75,65,384.052975
1.6,49,384.105605
27.15,37,384.142926
29.15,40,384.477424
20.85,69,384.556511
30.6,55,384.618452
-5.3,43,384.67079
-0.85,50,384.726438
18.35,39,384.766778
21.25,43,384.811486
26.85,50,384.863518
33.4,51,384.915525
27.35,51,384.966935
11.8,17,384.984581
57.7,59,385.047061
36.85,56,385.107447
26.85,51,385.163837
39.05,68,385.234597
7.05,52,385.291293
13.9,61,385.355742
54.35,69,385.429131
8.4,51,385.485846
24.5,70,385.560177
61.85,70,385.633996
57.95,69,385.795995
15.4,52,385.867551
19.5,50,385.919877
6.65,49,385.971588
3.15,52,386.028196
35.15,37,386.067685
30.75,70,386.138292
58.8,68,386.209233
29.0,70,386.286579
18.25,69,386.365488
54.35,56,386.425731
24.5,70,386.501625
39.75,70,386.57546
21.25,49,386.627572
54.25,30,386.661641
18.85,49,386.714144
-0.55,50,387.045822
5.75,55,387.105708
-5.4,26,387.13635
13.9,61,387.202635
30.75,55,387.26354
40.05,57,387.324602
37.15,51,387.380387
50.25,40,387.424112
6.9,52,387.482271
85.35,69,387.556419
-1.15,49,387.610733
-18.4,26,387.639774
13.55,58,387.698128
8.25,55,387.75472
9.95,58,387.812562
-1.05,49,387.861704
-21.6,20,387.881667
26.55,57,387.936623
28.45,51,387.989669
22.05,52,388.043716
16.1,70,388.115677
64.35,70,388.190233
0.15,51,388.243469
29.75,60,388.307522
5.55,57,388.36685
75.85,69,388.440443
55.6,69,388.514699
30.85,62,388.581068
9.0,56,388.639633
1.7,49,388.69092
9.65,51,388.745125
30.35,15,388.760541
-13.25,3,388.764252
27.4,56,388.821379
16.95,43,388.8646
22.65,57,388.920641
35.8,59,388.979737
25.1,54,389.039221
12.5,55,389.101302
13.4,56,389.165514
5.5,51,389.507057
26.0,55,389.569748
9.5,51,389.630795
5.55,57,389.693352
11.5,55,389.752859
-3.35,56,389.811013
26.85,70,389.882412
31.25,65,389.949698
26.55,69,390.02275
3.5,52,390.082315
-5.7,51,390.142302
-5.7,43,390.188707
37.85,51,390.246086
44.85,57,390.308165
23.45,49,390.361958
12.3,55,390.420389
17.25,52,390.479746
-5.7,38,390.520939
12.75,15,390.538057
-9.05,3,390.543159
-26.0,16,390.561832
54.25,55,390.618616
20.75,50,390.67255
58.05,57,390.733531
5.25,50,390.785438
23.55,65,390.853458
46.8,52,390.908087
27.5,70,390.977178
36.95,53,391.032249
7.5,51,391.088096
3.55,52,391.141911
10.8,52,391.198429
10.15,51,391.251416
63.1,69,391.32454
20.3,68,391.396483
-8.2,17,391.416559
34.0,30,391.450856
8.2,51,391.504627
8.05,49,391.555265
27.6,65,391.625883
2.1,55,391.961636
20.5,50,392.021168
29.15,61,392.091406
11.5,56,392.151725
45.6,59,392.212806
7.5,56,392.272846
14.15,52,392.324383
19.1,49,392.379649
9.25,51,392.432504
8.55,57,392.494092
46.25,70,392.571151
17.55,62,392.635596
15.3,37,392.674765
17.05,68,392.746728
34.0,30,392.777791
22.05,52,392.829688
16.15,43,392.872213
25.3,57,392.930002
7.2,58,392.988842
36.05,59,393.052842
8.65,51,393.10695
4.4,52,393.160088
8.25,51,393.21522
17.7,43,393.262834
7.95,57,394.455931
45.05,62,394.523847
55.65,54,394.581111
55.35,69,394.655269
25.25,65,394.769253
-3.6,51,394.850016
27.75,57,394.907398
10.4,57,394.967471
9.65,56,395.028057
40.45,68,395.105915
26.7,68,395.179922
28.0,70,395.258229
27.15,60,395.323376
9.0,55,395.676526
30.95,70,395.7586
96.3,57,395.81729
15.85,69,395.889383
17.75,52,395.943231
76.75,55,395.998244
32.75,70,396.070112
83.45,65,396.144214
-5.3,43,396.189182
56.05,37,396.229479
22.1,49,396.281741
1.5,50,396.335361
17.45,39,396.376632
10.9,57,396.439242
57.05,53,396.495654
27.9,56,396.561652
2.9,51,396.615383
10.25,52,396.674032
20.4,65,396.743497
44.85,59,396.803239
3.8,52,396.855849
31.0,55,396.910783
15.55,62,396.974452
11.85,55,397.029122
38.75,70,397.102267
8.05,58,397.159861
3.55,52,397.214771
14.2,58,397.277445
23.2,65,397.348169
35.7,63,397.413086
-3.05,43,397.456725
35.45,62,397.524447
-1.15,49,397.577358
9.65,56,397.636706
-0.9,49,397.686044
34.9,77,397.769943
-3.05,43,397.816396
4.55,57,398.156228
2.5,50,398.207676
8.55,57,398.270766
8.5,58,398.332193
39.3,50,398.388681
2.0,50,398.442969
41.25,50,398.495412
33.85,30,398.530274
53.0,70,398.60398
22.6,69,398.679263
19.3,43,398.7263
6.75,55,398.781701
25.95,68,398.847817
11.05,52,398.902497
9.95,58,398.959883
8.85,60,399.020653
75.1,69,399.092489
1.1,54,399.150268
48.0,70,399.224164
23.15,52,399.279211
-1.15,49,399.33234
0.65,57,399.39225
12.35,52,399.449793
3.15,60,399.512577
15.45,43,399.559387
45.05,68,399.629665
9.25,51,399.686614
5.55,57,399.747009
3.9,52,399.803207
20.3,77,399.881681
9.15,51,399.934431
29.15,77,400.014962
13.05,52,400.06917
10.05,52,400.127698
35.95,68,400.205119
-1.85,43,400.251727
23.05,37,400.579532
42.05,57,400.645308
4.8,52,400.700572
2.85,49,400.755665
45.15,51,400.809623
25.85,49,400.86117
-0.25,50,400.913916
18.0,70,400.987592
18.8,52,401.039638
4.5,55,401.100039
45.35,59,401.16498
27.9,56,401.223631
10.7,63,401.290033
27.15,56,401.352431
25.85,51,401.408168
13.15,61,401.474107
18.0,70,401.550763
27.25,65,401.621087
25.25,69,401.690982
4.6,49,401.746666
21.75,65,401.817122
37.75,65,401.883051
8.35,49,401.932627
33.75,56,401.988671
-3.6,51,402.044667
-14.7,27,402.0727
16.85,69,402.147561
-6.1,17,402.166983
39.5,70,402.242146
10.4,51,402.297255
56.1,69,402.371849
-28.75,16,402.390414
46.65,37,402.429701
14.8,77,402.50979
20.35,69,402.583578
24.2,43,402.628459
28.15,51,402.680661
38.6,69,403.030999
3.3,57,403.095126
65.6,59,403.15892
26.25,65,403.228139
2.85,49,403.278738
25.9,57,403.342069
31.25,55,403.401129
3.8,52,403.459395
45.1,59,403.522553
11.55,57,403.586487
34.25,30,403.619111
23.3,52,403.67486
22.5,50,403.730192
33.0,51,403.785426
33.65,51,403.835334
3.4,56,403.891348
81.75,65,403.957499
41.1,69,404.028937
12.4,61,404.093102
19.05,52,404.147837
9.4,56,404.211364
-25.6,16,404.231192
10.55,62,404.296881
-0.4,49,404.346073
22.15,56,404.406341
34.5,30,404.437517
12.05,57,404.497515
89.5,65,404.565078
39.95,68,404.63777
11.2,63,404.705563
41.25,50,404.758532
35.8,77,404.835378
34.8,77,404.910339
6.9,56,404.967746
17.6,54,405.023355
-0.25,50,405.077162
-1.05,49,405.128296
-7.55,17,405.147375
10.95,63,405.501697
51.6,69,405.577782
27.0,65,405.646901
17.45,43,405.69526
18.85,39,405.738234
7.65,56,405.795714
13.15,56,405.852446
7.85,49,405.901888
51.85,69,405.969738
20.15,56,406.029513
27.5,70,406.105291
7.15,56,406.166985
-5.3,26,406.196471
3.75,55,406.257183
68.85,69,406.32939
15.7,59,406.390422
64.4,70,406.465501
48.4,51,406.51806
25.7,68,407.753264
33.25,70,407.82588
34.65,51,407.879077
19.4,37,407.916704
3.8,52,407.970092
3.65,26,407.997137
9.8,58,408.060325
35.05,62,408.124907
19.25,70,408.201258
22.3,52,408.255235
10.9,57,408.317315
34.75,50,408.369817
10.85,70,408.444513
22.5,55,408.501943
37.25,65,408.569021
8.65,51,408.624489
51.25,65,408.690896
22.1,69,408.763313
27.05,62,409.101977
8.4,56,409.162753
10.15,51,409.218563
39.25,57,409.280896
22.25,55,409.341053
27.0,65,409.408394
21.85,49,409.461833
-4.9,26,409.489634
13.9,56,409.547139
15.05,57,409.607937
16.0,70,409.680867
56.35,64,409.745478
24.75,70,409.821799
23.95,70,409.892357
44.25,55,409.945984
26.3,57,410.00572
21.25,65,410.071051
8.35,49,410.124289
29.65,61,410.187069
7.8,52,410.24457
23.4,51,410.298473
18.5,70,410.372988
26.25,65,410.440721
24.2,43,410.484774
25.6,49,410.538972
17.1,54,410.595393
40.85,57,410.656548
25.15,68,410.727978
17.7,39,410.76779
16.5,70,410.836967
27.3,37,410.87526
-16.35,26,410.906054
40.4,56,410.962482
26.5,65,411.030297
32.75,70,411.101323
33.1,62,411.166447
35.1,56,411.22596
23.55,57,411.574663
7.25,56,411.637839
-1.95,50,411.692432
2.6,49,411.747609
25.7,68,411.818089
36.75,50,411.871513
27.0,50,411.922895
6.9,51,411.974264
13.05,52,412.030768
33.0,70,412.108528
44.35,62,412.175058
62.75,70,412.254125
29.15,61,412.318911
10.25,60,412.3845
28.6,54,412.44197
25.1,49,412.495606
56.45,55,412.558991
23.8,52,412.618443
39.9,68,412.699206
31.3,50,412.753571
9.85,55,412.809778
51.5,70,412.879801
11.95,15,412.896886
54.85,69,412.97164
23.7,43,413.017844
58.2,68,413.087374
-25.6,16,413.105791
10.6,55,413.164607
36.75,40,413.207163
41.65,51,413.263385
14.1,54,413.321782
37.15,55,413.382867
14.95,69,413.460848
43.25,70,413.533713
10.15,51,413.586069
-0.45,56,413.650183
30.35,54,413.771398
40.55,68,414.123555
38.2,53,414.179213
-1.45,52,414.238819
17.45,43,414.287689
53.0,55,414.349496
40.6,51,414.405004
6.05,57,414.464704
34.5,30,414.495293
96.6,69,414.570319
26.1,55,414.633336
18.8,52,414.690002
3.8,52,414.749478
17.8,52,414.802355
30.35,54,414.858442
19.5,70,414.928047
30.4,77,415.005336
32.9,56,415.069454
44.6,69,415.142596
13.0,55,415.200902
17.2,43,415.245022
29.4,71,415.322543
23.8,52,415.377531
16.6,69,415.447161
25.5,52,415.507665
31.95,52,415.562982
51.2,70,415.636739
29.85,54,415.694153
-3.05,43,415.740144
31.05,61,415.802206
29.35,70,415.873459
3.9,62,415.937179
54.5,55,415.991579
13.3,57,416.049397
28.75,70,416.121175
27.8,37,416.162194
33.65,61,416.227182
15.75,70,416.587167
-0.25,50,416.644492
53.5,55,416.704085
29.25,51,416.757157
-8.2,17,416.774444
13.5,55,416.83185
39.65,56,416.887758
45.85,59,416.948744
45.1,69,417.018659
61.1,69,417.094523
19.2,57,417.153625
27.75,65,417.21989
21.45,68,417.294412
21.25,50,417.345563
-9.05,3,417.350365
-6.2,38,417.389216
46.75,65,417.458685
3.1,49,417.509762
41.45,68,417.581237
18.85,71,417.65256
15.55,37,417.693107
19.0,70,417.767534
6.5,56,417.824911
35.75,50,417.878218
35.6,70,417.948385
10.15,51,417.999855
59.05,65,418.065692
17.45,43,418.112748
5.9,57,418.175134
13.05,52,418.232556
2.2,55,418.294041
-27.35,16,418.31353
16.05,22,418.338456
46.75,50,418.389339
56.5,40,418.434632
28.25,70,418.51068
11.8,70,418.58407
23.35,61,418.650999
14.6,69,419.012197
-0.1,51,419.066812
13.7,22,419.092618
51.55,55,419.151774
2.9,52,419.208669
35.5,50,419.263436
-16.75,26,419.293138
24.25,70,419.368102
4.4,51,419.423366
50.85,57,419.482932
16.85,50,419.539414
27.0,65,419.607791
9.7,58,419.668465
21.85,69,419.740605
37.85,59,419.798134
79.05,57,420.963537
-0.8,51,421.016694
31.05,70,421.086556
14.3,52,421.145968
9.05,58,421.209008
59.05,57,421.274167
22.3,62,421.342751
26.75,50,421.39644
0.1,49,421.447313
41.6,69,421.521491
43.75,65,421.590692
22.95,65,421.657316
25.25,70,421.736253
-15.6,27,421.769134
37.85,64,421.834564
15.75,54,421.889094
55.45,69,421.958675
36.45,63,422.023711
0.05,49,422.074149
26.25,65,422.145136
5.3,52,422.199063
16.75,52,422.255001
17.45,43,422.588775
60.1,69,422.66704
20.45,69,422.738483
-16.65,27,422.766983
58.65,57,422.823062
18.2,70,422.894306
20.85,71,422.969896
18.55,57,423.029431
24.2,43,423.074916
1.65,51,423.128455
19.0,70,423.201093
17.05,43,423.246938
18.1,70,423.327103
16.25,52,423.382328
31.25,70,423.455617
25.8,52,423.511444
15.05,57,423.576187
4.95,55,423.644014
33.4,56,423.707659
39.65,56,423.768275
20.55,77,423.849746
15.4,52,423.903176
36.8,56,423.961743
60.2,65,424.028649
5.95,56,424.092705
5.05,52,424.148332
19.5,70,424.221244
8.9,51,424.282717
4.25,55,424.340554
52.25,55,424.401433
46.95,68,424.475209
39.95,68,424.547716
24.45,43,424.596684
0.55,52,424.652658
2.45,56,424.714821
18.35,39,424.755348
56.35,69,425.108426
40.05,68,425.184414
16.05,62,425.249217
20.7,52,425.302683
21.6,69,425.377436
9.9,51,425.430114
6.15,52,425.484421
-5.35,38,425.525519
5.85,49,425.579455
3.6,49,425.632314
17.95,43,425.678581
29.65,71,425.751886
59.05,57,425.812742
37.35,64,425.87847
14.05,22,425.901256
22.25,55,425.957574
-17.0,26,425.98495
9.3,52,426.039996
9.65,51,426.093096
7.3,52,426.148117
12.9,56,426.206995
65.05,69,426.277732
30.4,51,426.333836
19.0,70,426.408548
35.85,64,426.476734
35.25,30,426.50913
6.5,55,426.566023
-20.0,20,426.587393
25.05,52,426.642923
1.65,56,426.700903
24.65,56,426.760175
21.45,68,426.83007
29.25,70,426.897787
59.65,57,426.95489
35.5,65,427.023873
15.1,22,427.046985
18.95,56,427.105538
60.6,64,427.175585
61.6,69,427.540761
16.95,70,427.617711
9.65,51,427.671867
11.75,55,427.733801
43.75,69,427.807265
9.2,55,427.863813
38.35,39,427.903087
34.85,53,427.957563
23.3,43,428.002103
22.8,52,428.059636
11.95,57,428.119803
12.95,77,428.204759
16.85,57,428.267855
26.45,54,428.325739
24.35,57,428.38697
13.5,55,428.443396
54.0,55,428.503179
-9.05,3,428.507025
56.35,69,428.580154
28.5,70,428.653173
75.0,55,428.711464
26.85,69,428.783098
21.6,69,428.851028
13.85,57,428.909148
-3.5,26,428.93589
21.5,55,428.991406
36.75,40,429.033585
14.3,52,429.089142
40.85,64,429.15858
-1.05,50,429.21271
25.8,62,429.281876
-0.6,49,429.338058
12.2,55,429.39896
11.75,55,429.462556
7.45,51,429.519189
42.5,62,429.589216
16.7,62,429.659684
38.05,56,429.999369
29.45,54,430.060407
20.6,68,430.139009
31.75,65,430.216699
29.15,71,430.291569
17.35,59,430.35309
24.45,43,430.398472
13.65,61,430.539265
56.75,55,430.597269
18.75,70,430.673357
20.3,77,430.754501
31.0,55,430.808697
29.05,52,430.864319
1.85,49,430.914595
9.4,51,430.967523
21.9,52,431.021201
34.15,56,431.085985
54.4,69,431.157865
25.55,51,431.216869
7.4,56,431.276251
19.05,57,431.335763
36.0,55,431.394139
19.55,69,431.466219
-9.85,38,431.509857
38.7,53,431.56647
35.25,40,431.613183
17.6,54,431.668691
41.35,69,431.845755
27.45,51,431.902837
57.4,70,431.972599
14.45,58,432.039739
18.8,62,432.108272
46.2,68,432.181087
19.75,65,432.252188
18.1,50,432.302618
26.0,65,432.371575
9.15,51,432.716274
0.7,50,432.771833
-15.75,27,432.801374
-13.25,3,432.80539
23.95,43,432.848965
23.3,49,432.908741
10.25,56,432.964069
6.15,51,433.01841
8.0,55,433.076053
59.3,51,433.13419
18.8,52,433.187168
43.95,43,434.501619
23.95,43,434.547423
13.55,49,434.59828
32.75,50,434.652849
19.2,39,434.693165
27.75,50,434.746176
-16.1,26,434.772791
23.5,70,434.843356
54.5,50,434.893825
22.1,62,434.958455
60.1,65,435.028714
24.5,52,435.083968
5.45,52,435.138634
6.2,54,435.196813
9.15,61,435.261627
0.8,52,435.319387
22.75,65,435.389829
60.35,69,435.459251
12.05,62,435.526013
32.0,55,435.584232
23.15,52,435.641628
4.9,54,435.705044
2.9,52,435.762457
26.5,70,435.835815
23.95,43,435.879213
24.0,54,435.935346
12.55,70,436.003319
1.0,50,436.055789
40.35,56,436.401561
9.5,60,436.471076
26.8,61,436.545442
18.7,62,436.619707
35.1,70,436.709138
39.3,68,436.790034
49.0,61,436.864344
26.85,69,436.948279
37.55,65,437.028645
52.8,77,437.12319
44.4,65,437.199238
26.15,51,437.265303
-16.35,26,437.301257
26.15,56,437.372431
15.1,69,437.453814
35.2,68,437.542726
23.3,52,437.60977
12.7,58,437.683655
84.8,70,437.774012
15.05,57,437.841925
21.65,71,437.928455
15.25,37,437.972534
73.15,69,438.056515
41.45,70,438.147785
35.75,50,438.21182
49.75,70,438.303643
29.0,60,438.420531
4.15,51,438.497848
26.85,51,438.569877
21.25,55,438.645996
23.45,55,438.723479
10.25,60,438.795959
29.75,51,438.858124
66.1,69,438.940558
1.15,51,439.003509
1.25,50,439.391941
7.65,56,439.460206
8.55,15,439.480593
47.35,51,439.54544
24.85,49,439.606016
63.5,69,439.693244
38.75,57,439.764356
-0.25,56,439.834092
10.15,51,439.895022
33.75,51,439.959068
21.4,71,440.044335
18.0,39,440.087716
31.15,50,440.14495
4.55,52,440.200725
2.5,57,440.265667
18.7,37,440.307681
27.0,65,440.380546
25.95,68,440.454603
5.65,52,440.511717
13.2,69,440.587882
29.95,57,440.65331
13.4,58,440.714674
33.25,55,440.771716
17.65,51,440.822582
35.35,40,440.863083
3.95,50,440.917276
1.2,54,440.971848
24.95,37,441.012026
12.75,56,441.071669
58.5,68,441.149217
39.7,56,441.21187
2.4,56,441.26918
-20.7,20,441.292353
2.0,50,441.348286
11.8,57,441.409134
47.75,61,441.471888
57.75,65,441.544474
13.0,52,441.602569
7.4,51,441.936803
40.65,70,442.010205
21.3,69,442.086213
29.55,70,442.165367
-0.05,43,442.209494
66.5,70,442.284064
20.85,69,442.360113
16.45,54,442.417733
34.75,50,442.469529
33.95,59,442.53299
-3.85,49,442.586552
5.55,57,442.646916
9.75,55,442.70643
54.05,69,442.778671
4.0,52,442.832526
62.3,70,442.901174
1.05,49,442.954438
4.95,56,443.009844
4.9,56,443.067651
57.55,56,443.129991
13.25,55,443.188078
31.25,65,443.26527
22.4,62,443.332248
26.6,50,443.391259
22.35,49,443.444045
0.1,50,443.501402
6.15,52,443.5575
43.9,56,443.622262
-14.85,27,443.649805
1.85,52,443.705002
18.05,52,443.759593
37.05,65,443.824455
27.25,71,443.894918
62.8,37,443.931212
49.4,51,443.982029
43.0,70,444.052029
62.0,70,444.410262
37.95,69,444.4843
12.4,22,444.508227
12.6,70,444.581638
35.55,69,444.656027
24.3,68,444.726602
3.7,56,444.784644
22.75,51,444.834985
5.55,52,444.888552
41.2,70,444.958143
-0.0,49,445.013096
20.6,51,445.067029
38.85,51,445.125509
15.3,62,445.188937
24.2,65,445.256632
55.4,51,445.309752
17.65,65,445.37657
2.25,26,445.402895
42.05,69,445.476833
26.45,50,445.528575
20.35,49,445.584305
22.3,52,445.641598
19.0,70,445.714324
52.2,65,445.784215
17.35,54,445.838982
19.85,71,445.910135
33.9,57,445.967743
78.8,64,446.033282
59.65,69,446.104753
35.95,68,446.175355
38.75,50,446.228619
29.5,55,446.285376
31.3,50,446.338836
11.35,55,446.397687
45.2,69,446.467669
34.75,77,446.828739
39.85,65,446.899505
21.5,70,446.974104
8.75,51,447.028252
40.4,56,447.139207
62.2,70,448.33727
36.25,40,448.383667
37.75,70,448.457624
1.9,49,448.511424
84.3,69,448.587826
25.75,68,448.659299
27.2,70,448.734737
20.3,52,448.788603
30.25,70,448.859728
15.0,22,448.881271
57.9,57,448.939681
39.15,71,449.013173
22.35,49,449.065891
13.7,22,449.092013
34.25,30,449.123793
-21.9,20,449.146516
56.0,40,449.187124
6.2,58,449.25052
23.45,43,449.295092
5.8,57,449.354792
-6.35,43,449.398981
20.4,68,449.468169
54.75,50,449.518686
13.4,70,449.595255
26.3,52,449.649764
48.0,71,449.724656
40.8,70,449.797627
76.25,55,449.855043
29.25,51,449.908907
14.35,43,449.95145
11.4,61,450.014624
28.15,57,450.073175
8.75,56,450.132247
10.4,57,450.477728
21.65,69,450.555703
9.7,55,450.613481
-5.1,38,450.657238
-3.15,50,450.713585
29.75,61,450.780246
21.25,52,450.832751
19.1,65,450.902491
9.95,70,450.975262
22.45,50,451.027893
-10.15,17,451.046258
25.95,57,451.113432
-4.15,26,451.141649
19.8,50,451.194864
11.25,57,451.256908
32.7,68,451.331402
33.75,30,451.363298
-7.1,43,451.410271
87.7,65,451.482247
-1.8,43,451.529472
2.55,56,451.589942
-16.95,27,451.621624
28.4,51,451.67374
31.7,69,451.746263
42.55,70,451.81744
9.55,15,451.833195
-8.05,56,451.888232
1.75,50,451.936976
10.15,59,451.994594
0.7,52,452.051898
22.25,50,452.107669
15.3,38,452.149243
6.4,56,452.21182
23.85,52,452.268424
9.2,15,452.285869
7.95,51,452.33967
11.5,55,452.399907
57.25,55,452.460885
35.0,50,452.515227
29.05,63,452.58271
-5.45,17,452.603262
12.0,52,452.978863
-1.95,55,453.043737
3.9,56,453.105542
11.95,62,453.181833
20.25,69,453.270239
11.05,69,453.357531
1.55,52,453.417804
6.25,56,453.487387
8.65,56,453.552738
36.35,65,453.625318
30.7,70,453.70237
10.35,15,453.719069
12.35,52,453.777639
39.8,57,453.849987
34.15,53,453.908241
56.45,70,453.981399
14.85,43,454.025067
41.7,65,454.097476
-0.95,50,454.154495
17.6,51,454.208861
16.9,65,454.285421
26.25,71,454.372853
39.75,71,454.463777
20.0,56,454.531189
44.25,70,454.609599
23.95,43,454.655348
18.15,57,454.721486
18.7,68,454.796047
27.85,57,454.853918
29.15,51,454.906898
-18.3,26,454.934661
18.25,49,454.984753
4.6,56,455.045984
6.15,56,455.107413
48.45,77,455.189523
-2.35,43,455.235679
24.05,65,455.592761
9.65,61,455.663429
19.3,52,455.719033
18.25,57,455.780413
3.25,51,455.833617
46.6,70,455.906138
-15.05,27,455.934769
23.05,70,456.012058
30.95,55,456.073875
30.25,60,456.136276
37.0,70,456.210796
-6.0,38,456.252414
0.95,49,456.306088
19.4,55,456.362913
17.1,54,456.422194
34.8,62,456.48888
1.2,26,456.517745
41.15,51,456.574607
-3.1,56,456.639725
-1.2,43,456.6875
4.8,57,456.74943
27.65,51,456.803562
5.0,55,456.860042
24.7,70,456.93371
-2.5,43,456.979312
29.9,61,457.043363
37.2,70,457.120858
16.9,52,457.174902
67.75,65,457.243483
35.75,40,457.286248
19.35,50,457.339252
37.35,54,457.394683
66.75,70,457.471666
4.2,54,457.52909
33.35,30,457.560706
26.75,50,457.61449
26.05,57,457.676429
34.5,30,457.709417
44.1,49,457.762346
-5.05,38,458.086447
78.3,57,458.147516
46.3,50,458.202483
5.8,54,458.263512
19.3,69,458.339173
7.35,55,458.399792
10.15,56,458.462669
0.55,49,458.5141
30.4,54,458.569584
-0.4,49,458.623186
34.95,69,458.697487
4.45,57,458.75955
37.95,55,458.816084
24.3,68,458.883866
46.75,65,458.949506
22.7,43,458.996132
13.9,52,459.053269
41.1,64,459.123217
9.25,51,459.175296
34.1,56,459.233412
47.2,68,459.307822
23.35,70,459.382503
29.65,65,459.452528
3.5,55,459.512535
31.7,70,459.58809
10.15,56,459.648168
2.15,55,459.70709
28.05,49,459.759344
29.4,51,459.81014
-21.65,20,459.83004
46.0,65,459.896483
40.85,69,459.971273
62.5,57,460.030641
43.05,57,460.093357
18.15,52,460.149341
19.35,69,460.223797
18.95,43,460.556993
25.7,55,461.807766
18.9,51,461.861631
10.05,57,461.918045
-6.3,50,461.969499
41.3,52,462.021106
35.05,77,462.101203
24.1,70,462.175372
36.0,40,462.217525
24.2,49,462.270131
-4.6,51,462.322591
42.55,52,462.380089
74.0,55,462.436973
10.35,56,462.498792
31.4,30,462.530964
-1.85,20,462.554212
16.1,52,462.610082
19.6,65,462.685598
14.75,59,462.751293
18.5,57,462.81151
60.35,64,462.878093
48.65,55,462.934418
16.3,70,463.00592
30.75,57,463.06398
20.05,57,463.126473
65.65,54,463.185774
58.55,57,463.245819
14.25,57,463.307721
45.15,62,463.376906
38.35,64,463.447695
44.2,57,463.512433
17.25,70,463.584914
5.6,56,463.649375
9.15,56,463.715968
50.35,55,463.773557
25.8,68,463.843185
-7.85,16,463.859464
1.6,49,463.909466
38.35,69,464.273234
24.5,70,464.351588
27.2,70,464.42911
33.45,37,464.472281
23.2,43,464.522151
6.85,55,464.582082
0.15,49,464.633489
3.5,52,464.693519
1.75,52,464.749745
55.2,55,464.808876
19.05,62,464.872109
62.4,65,464.939391
41.0,70,465.011357
41.85,64,465.076888
20.15,70,465.153426
-29.05,16,465.170198
-4.45,50,465.22296
7.05,52,465.278912
38.1,70,465.354734
23.2,70,465.427314
44.7,59,465.488533
-2.5,50,465.565947
43.7,49,465.663661
22.15,52,465.72222
53.75,50,465.772559
23.7,70,465.842618
73.5,55,465.899221
42.5,49,465.954377
24.25,70,466.025785
56.25,55,466.083833
0.5,56,466.14861
83.25,70,466.224453
12.95,52,466.280225
0.8,49,466.331805
40.0,70,466.405428
5.45,50,466.457699
55.5,56,466.801566
9.7,15,466.81926
29.9,51,466.872808
17.5,62,466.937362
4.75,56,466.995344
7.35,77,467.082421
10.95,57,467.1439
35.05,77,467.228441
11.85,55,467.290009
16.7,39,467.332722
14.6,22,467.35858
-4.45,38,467.398839
14.55,57,467.462039
32.8,56,467.52279
12.25,70,467.599254
55.6,70,467.67596
68.5,69,467.749955
29.9,56,467.805724
11.0,56,467.867518
10.0,55,467.92249
41.75,50,467.972888
31.0,70,468.048106
26.75,70,468.122122
18.85,39,468.1636
2.1,49,468.213345
13.75,56,468.274143
19.55,57,468.33672
5.65,49,468.391769
12.75,62,468.460765
19.2,69,468.537366
26.35,70,468.612129
21.25,52,468.667543
1.3,52,468.725534
19.25,65,468.792082
-1.25,50,468.843019
51.75,65,468.908818
32.5,65,469.264154
40.35,64,469.337975
38.55,52,469.396019
83.5,70,469.469064
31.35,70,469.545398
25.3,68,469.618664
5.0,50,469.669592
-13.25,3,469.673713
56.0,55,469.734674
23.3,70,469.807052
6.15,57,469.865236
1.45,49,469.91394
37.1,70,469.984818
30.75,55,470.045206
30.45,65,470.117586
17.7,43,470.165101
59.45,68,470.240778
19.3,57,470.301708
24.55,57,470.364145
46.0,65,470.430959
46.85,69,470.506069
-6.1,26,470.535494
39.0,65,470.606981
15.3,37,470.65084
-20.8,20,470.672809
59.2,68,470.744293
-14.6,27,470.774749
60.35,57,470.831594
7.55,57,470.890973
21.35,49,470.945702
66.25,70,471.019821
-7.85,16,471.037001
-14.45,27,471.06538
16.35,62,471.134735
4.05,52,471.189721
54.85,64,471.255354
52.5,63,471.321296
78.9,68,471.39178
56.75,55,471.736699
42.25,70,471.813874
2.9,52,471.867708
81.5,57,471.926968
38.25,57,471.984138
-14.45,27,472.014743
28.9,51,472.070575
9.65,51,472.125449
35.65,22,472.150205
42.9,71,472.224044
21.5,70,472.297013
48.05,37,472.335719
-1.5,52,472.391865
17.9,52,472.448367
34.7,69,472.523309
47.9,51,472.578081
26.6,69,472.650909
9.45,63,472.717968
14.15,62,472.782569
40.9,51,472.833019
12.85,56,472.893213
15.05,62,472.955704
52.85,55,473.014047
67.25,70,473.088757
11.8,62,473.153953
6.9,57,473.21468
18.2,70,473.287735
79.15,64,473.357128
17.5,51,473.412437
39.85,65,473.4817
30.05,77,473.564455
1.05,49,473.618067
22.75,70,474.814111
14.2,58,474.879269
25.4,51,474.931605
48.15,71,475.007273
20.35,70,475.368891
30.25,56,475.429143
-27.85,16,475.44824
